algorithm,length,time
insertion_sort,1,0.004
insertion_sort,2,0.004
insertion_sort,4,0.005
insertion_sort,8,0.013
insertion_sort,16,0.042
insertion_sort,32,0.167
insertion_sort,64,0.632
insertion_sort,128,2.388
insertion_sort,256,9.667
insertion_sort,512,59.398
insertion_sort,1024,183.704
insertion_sort,2048,669.344
merge_sort,1,0.004
merge_sort,2,0.014
merge_sort,4,0.015
merge_sort,8,0.04
merge_sort,16,0.076
merge_sort,32,0.159
merge_sort,64,0.325
merge_sort,128,0.706
merge_sort,256,1.554
merge_sort,512,3.311
merge_sort,1024,7.252
merge_sort,2048,15.741
merge_sort,4096,33.701
merge_sort,8192,72.457
merge_sort,16384,156.069
merge_sort,32768,329.81
merge_sort,65536,1020.24
