algorithm,length,time
insertion_sort,1,0.004
insertion_sort,2,0.004
insertion_sort,4,0.006
insertion_sort,8,0.01
insertion_sort,16,0.043
insertion_sort,32,0.158
insertion_sort,64,0.615
insertion_sort,128,2.572
insertion_sort,256,9.45
insertion_sort,512,37.567
insertion_sort,1024,155.667
insertion_sort,2048,638.151
merge_sort,1,0.004
merge_sort,2,0.015
merge_sort,4,0.017
merge_sort,8,0.033
merge_sort,16,0.072
merge_sort,32,0.159
merge_sort,64,0.346
merge_sort,128,0.763
merge_sort,256,1.681
merge_sort,512,3.611
merge_sort,1024,7.868
merge_sort,2048,16.125
merge_sort,4096,33.719
merge_sort,8192,75.131
merge_sort,16384,159.904
merge_sort,32768,343.538
merge_sort,65536,703.463
