algorithm,distance
1,4807.75998151
1,5249.9195735
1,4384.61817459
1,4820.16428708
1,4502.06824145
1,4692.40084746
1,4711.68710835
1,4436.48625464
1,4391.23239497
1,4688.61132585
2,709.521627826
2,709.521627826
2,709.521627826
2,709.521627826
2,709.521627826
2,709.521627826
2,709.521627826
2,709.521627826
2,709.521627826
2,709.521627826
3,672.939466143
3,672.939466143
3,672.939466143
3,672.939466143
3,672.939466143
3,672.939466143
3,672.939466143
3,672.939466143
3,672.939466143
3,672.939466143
4,654.661204086
4,657.422503306
4,639.018572764
4,658.896393086
4,664.629717872
4,698.097198546
4,701.980132013
4,709.484971148
4,646.967052461
4,680.880388309
5,768.484378422
5,854.037695901
5,822.03134214
5,715.574272216
5,863.508410255
5,836.936327286
5,742.27405101
5,808.223177051
5,759.767308301
5,788.49779539
6,683.859796279
6,697.237764297
6,685.165160208
6,626.02333474
6,684.031317141
6,616.542078358
6,645.625428619
6,658.798567278
6,684.149728817
6,681.666506992
