algorithm,distance
1,304004.88947
1,301544.21259
1,304974.563012
1,307303.795187
1,301961.731554
1,307863.388544
1,305737.05313
1,305605.429389
1,310631.485701
1,313234.554305
2,14212.7216061
2,14212.7216061
2,14212.7216061
2,14212.7216061
2,14212.7216061
2,14212.7216061
2,14212.7216061
2,14212.7216061
2,14212.7216061
2,14212.7216061
3,13346.4421773
3,13346.4421773
3,13346.4421773
3,13346.4421773
3,13346.4421773
3,13346.4421773
3,13346.4421773
3,13346.4421773
3,13346.4421773
3,13346.4421773
4,12942.9797052
4,12973.8187051
4,12726.6461028
4,13092.3377408
