n,distance
1,4686.94755355
1,4474.10839314
1,4656.0011077
1,4614.01630866
1,4673.72632843
1,4429.8408543
1,4566.97996466
1,4431.5290454
1,651.849747983
1,667.863349597
1,640.558570869
1,611.580662398
1,681.910433926
1,660.652496762
1,687.252033712
1,673.906885466
1,703.655954898
1,619.683880886
1,667.220456133
1,646.386873651
5,625.172066624
5,628.642303622
5,634.510124014
5,644.796710453
5,622.156979932
5,636.296748804
5,633.874393414
5,624.024712356
5,643.045989607
5,630.975638217
5,641.778058771
5,631.623638633
5,619.420289586
5,626.009596118
5,639.982373203
5,637.246821013
5,633.84210894
5,622.822626771
5,631.142700731
5,641.298899333
10,618.380256933
10,612.573530309
10,604.866647298
10,611.113050281
10,615.852640179
10,623.538346984
10,609.404716256
10,634.737050345
10,617.988543367
10,617.629742916
10,611.316508265
10,616.319869911
10,624.722680572
10,623.626438818
10,597.760917374
10,637.684968126
10,618.207629993
10,605.021156628
10,624.617366989
10,627.720770663
50,608.789555567
50,610.710749176
50,606.945860677
50,608.879046203
50,598.686879572
50,608.376719865
50,588.672795214
50,608.498522643
50,605.841761538
50,609.940377583
50,601.844243612
50,591.625524529
50,611.597511515
50,613.285565239
50,604.708913603
50,605.770643039
50,606.22905871
50,613.620756207
50,614.223467766
50,610.144936535
100,609.91560173
100,601.507584793
100,589.123923312
100,607.933382913
100,598.790920666
100,605.842262191
100,602.695858819
100,586.244281352
100,600.661899306
100,590.956001473
100,593.748820683
100,602.577663665
100,606.461356936
100,598.397654497
100,599.832786075
100,605.243727766
100,614.310452993
100,614.670636555
100,595.206946351
100,600.926309412
500,592.640265371
500,590.257832961
500,587.106672739
500,595.671270064
500,589.14451702
