n,distance
1,4722.72586813
1,4719.64779066
1,4701.23316267
1,4551.82160605
1,4660.41748369
1,4579.54225867
1,4783.19407881
1,4636.22382787
1,4748.54642705
1,4957.35235253
1,5090.20894628
1,4541.96293212
1,4773.19529789
1,4729.83506192
1,4668.2672673
1,4647.16013261
1,4551.0853367
1,5002.53564311
1,4780.17486637
1,4410.87839303
5,4605.20394025
5,4420.03303861
5,4426.48725862
5,4382.72132334
5,4194.79752077
5,4493.85283988
5,4494.34295089
5,4308.68787859
5,4254.55793141
5,4356.46586605
5,4339.3389195
5,4435.38199896
5,4416.23474053
5,4706.00238468
5,4496.5304179
5,4445.43720542
5,4442.62135438
5,4514.94197794
5,4409.66656919
5,4430.27771841
10,4169.54928596
10,4055.2016243
10,4502.07892217
10,4351.38672869
10,4509.64329784
10,4254.20406537
10,4389.07464551
10,4058.16060337
10,4173.33376624
10,4398.82692248
10,4335.7137717
10,4445.57049987
10,4372.55444606
10,4442.16976104
10,4310.67379089
10,4232.06698995
10,4299.9965372
10,4259.75290572
10,4384.79518143
10,4235.82551753
50,4145.77723502
50,4170.48788719
50,4467.05367136
50,4164.21977169
50,4128.40087381
50,4305.58700218
50,4203.45664055
50,4261.86152646
50,4155.40316924
50,4068.56348
50,4211.88651596
50,4182.47663025
50,4091.02035088
50,4368.02587127
50,4287.14004314
50,4116.03083256
50,4123.95935623
50,4210.41998458
50,4220.67506616
50,4240.66610486
100,4200.77355457
100,4147.3658807
100,4081.34775628
100,4146.9480968
100,3910.52197728
100,4072.78185173
100,4194.28422253
100,4168.01505532
100,4192.83165325
100,4121.93369389
100,4103.08938705
100,4211.1594967
100,4210.20985337
100,4231.4698213
100,4245.85737928
100,4142.09489329
100,4112.8590122
100,4232.05975539
100,4210.62335739
100,4188.69103033
500,4010.09973468
500,4000.85239143
500,4077.82072332
500,4050.6792408
500,4055.54990228
500,4080.80953286
500,3979.4720293
500,4027.14268101
500,4124.02255708
500,3916.46671627
500,4027.41193329
500,4062.28727789
500,4015.80176103
500,3948.4995473
500,4087.55640107
500,4136.57729827
500,4176.4459029
500,4059.4622112
500,4024.50107169
500,4052.02739867
1000,3954.27952228
1000,3967.21211618
1000,3880.07651348
1000,4026.89079892
1000,4016.85337108
1000,3980.47380606
1000,3840.57105938
1000,4159.56140057
1000,3945.28502244
1000,4035.61475322
1000,3798.48758091
1000,3892.23224113
1000,3972.84087022
1000,4022.51448887
1000,3948.97189739
1000,4089.09022219
1000,3995.77734
1000,4004.96961796
1000,4049.35133365
1000,3921.23226269
5000,3965.45641161
5000,3874.70825494
5000,3907.04512026
5000,3956.86152481
5000,3866.68703661
5000,3984.03117681
5000,3858.81396513
5000,3959.481135
5000,3974.90313035
5000,3937.061047
5000,3974.42530875
5000,3951.25643224
5000,3912.4879841
5000,3736.04804849
5000,3913.15895455
5000,3948.90950345
5000,3885.61778331
5000,3898.52428028
5000,3933.1095177
5000,3990.82679945
10000,3934.47304137
10000,3959.99617938
10000,3679.88903095
10000,3850.2298121
10000,3838.81362761
10000,3863.34498037
10000,3889.53258912
10000,3873.63574425
10000,3799.00432211
10000,3823.1666584
10000,3828.95990022
10000,3883.94100435
10000,3914.53806143
10000,3692.590146
10000,3813.24625457
10000,3877.78832323
10000,3699.61002547
10000,3873.83658116
10000,3868.59549857
10000,3879.39611953
